,Unnamed: 0,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,X,Y,datetime,day,hour,geometry,SDoT_pop,count_따릉이,학교_초,학교_중,학교_고,학교_대,따릉이_대여소수,pubs,speedbump,busstop,subway,bus,temp,humidity,dust
0,0,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,28세,상해없음,이륜,남,49세,중상,194066.02579262,449747.90669503,2021-01-02 10:00:00,5,10,POINT (949900.9999999607 1949916.9999999106),426.5,0,0,1,0,0,4,7,0,19,5,138,20.125,58.0,20.166666666666664
1,1,경상사고,0,0,1,0,차대차 - 측면충돌,불법유턴,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),남,24세,경상,승용,남,43세,상해없음,201601.91336089,445614.34964187,2021-01-10 16:00:00,6,16,POINT (957411.9999999609 1945744.999999914),8.0,0,0,0,0,0,1,15,0,1,6,68,20.125,30.0,10.0
2,2,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),여,24세,부상신고,승용,여,39세,상해없음,200524.55963108,442588.44509583,2021-01-14 10:00:00,3,10,POINT (956318.9999999544 1942725.9999999132),111.0,0,0,1,0,0,1,2,0,8,2,104,20.125,52.0,107.0
3,3,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,26세,상해없음,보행자,여,30세,경상,209569.1932179,445214.50896024,2021-01-15 21:00:00,4,21,POINT (965373.999999958 1945302.9999999262),7.0,0,0,0,0,0,4,42,8,4,5,62,20.125,70.0,36.0
4,4,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),남,34세,상해없음,보행자,여,48세,경상,202131.5358183,446477.50152318,2021-01-17 18:00:00,6,18,POINT (957945.999999959 1946604.9999999204),4.0,0,0,0,0,0,2,62,18,7,3,62,20.125,48.0,7.0
5,5,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,20세,상해없음,보행자,여,19세,경상,193126.75661391,450483.19461556,2021-01-17 21:00:00,6,21,POINT (948965.9999999602 1950656.9999999101),6.5,0,0,0,0,0,1,321,0,11,7,153,20.125,55.0,9.0
6,6,경상사고,0,0,1,0,차대사람 - 기타,신호위반,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),여,49세,상해없음,보행자,여,86세,경상,207440.09823175,454101.73982436,2021-01-18 16:00:00,0,16,POINT (963292.9999999702 1954197.9999999208),409.5,0,0,0,0,0,0,6,0,8,2,100,20.125,37.0,18.0
7,7,경상사고,0,0,1,0,차대사람 - 기타,기타,-,맑음,기타 - 기타,개인형이동수단(PM),여,21세,상해없음,보행자,여,42세,경상,188999.70180203,447188.00453673,2021-01-21 08:00:00,3,8,POINT (944822.9999999559 1947384.999999912),183.5,0,1,0,0,0,3,63,0,13,3,73,20.125,41.0,25.0
8,8,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,30세,상해없음,보행자,여,35세,경상,202594.98539429,444356.13021042,2021-01-21 09:00:00,3,9,POINT (958397.9999999614 1944481.9999999169),9.0,0,0,0,0,0,1,82,6,24,4,134,20.125,44.0,26.0
9,9,부상신고사고,0,0,0,1,차대차 - 측면충돌,교차로운행방법위반,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,27세,상해없음,승용,남,69세,상해없음,192026.70791769,453609.53813695,2021-01-23 01:00:00,5,1,POINT (947882.9999999598 1953787.9999999143),0.5,0,1,0,0,0,3,13,70,10,4,84,20.125,58.0,20.166666666666664
