사고번호,사고일시,요일,시군구,도로명주소,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,좌표,좌표계
2021010200100053,2021년 1월 2일 10시,토요일,서울특별시 마포구 구수동,,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,28세,상해없음,이륜,남,49세,중상,"[194066.02579262, 449747.90669503]",EPSG:5181
2021011000100182,2021년 1월 10일 16시,일요일,서울특별시 서초구 반포동,,경상사고,0,0,1,0,차대차 - 측면충돌,불법유턴,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),남,24세,경상,승용,남,43세,상해없음,"[201601.91336089, 445614.34964187]",EPSG:5181
2021011400100148,2021년 1월 14일 10시,목요일,서울특별시 서초구 서초동,,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),여,24세,부상신고,승용,여,39세,상해없음,"[200524.55963108, 442588.44509583]",EPSG:5181
2021011500100555,2021년 1월 15일 21시,금요일,서울특별시 송파구 송파동,,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,26세,상해없음,보행자,여,30세,경상,"[209569.1932179, 445214.50896024]",EPSG:5181
2021011700100198,2021년 1월 17일 18시,일요일,서울특별시 강남구 논현동,,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),남,34세,상해없음,보행자,여,48세,경상,"[202131.5358183, 446477.50152318]",EPSG:5181
2021011700100276,2021년 1월 17일 21시,일요일,서울특별시 마포구 서교동,,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,20세,상해없음,보행자,여,19세,경상,"[193126.75661391, 450483.19461556]",EPSG:5181
2021011800100231,2021년 1월 18일 16시,월요일,서울특별시 중랑구 면목동,,경상사고,0,0,1,0,차대사람 - 기타,신호위반,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),여,49세,상해없음,보행자,여,86세,경상,"[207440.09823175, 454101.73982436]",EPSG:5181
2021012100100066,2021년 1월 21일 08시,목요일,서울특별시 양천구 목동,,경상사고,0,0,1,0,차대사람 - 기타,기타,-,맑음,기타 - 기타,개인형이동수단(PM),여,21세,상해없음,보행자,여,42세,경상,"[188999.70180203, 447188.00453673]",EPSG:5181
2021012100100094,2021년 1월 21일 09시,목요일,서울특별시 강남구 역삼동,,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,30세,상해없음,보행자,여,35세,경상,"[202594.98539429, 444356.13021042]",EPSG:5181
2021012300100010,2021년 1월 23일 01시,토요일,서울특별시 서대문구 북가좌동,,부상신고사고,0,0,0,1,차대차 - 측면충돌,교차로운행방법위반,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,27세,상해없음,승용,남,69세,상해없음,"[192026.70791769, 453609.53813695]",EPSG:5181
2021012400100234,2021년 1월 24일 18시,일요일,서울특별시 강남구 논현동,,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,31세,경상,승용,남,25세,상해없음,"[202349.81686639, 445311.20325704]",EPSG:5181
2021012400100324,2021년 1월 24일 21시,일요일,서울특별시 강남구 역삼동,,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),남,19세,상해없음,이륜,여,52세,경상,"[203118.59351414, 443903.73274478]",EPSG:5181
2021012500100460,2021년 1월 25일 19시,월요일,서울특별시 서초구 서초동,,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,-,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),남,40세,기타불명,보행자,여,29세,경상,"[202489.37057253, 444087.4638423]",EPSG:5181
2021012600100293,2021년 1월 26일 15시,화요일,서울특별시 강동구 명일동,,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,22세,상해없음,이륜,남,34세,경상,"[212799.86349931, 449661.46416866]",EPSG:5181
2021012700100486,2021년 1월 27일 21시,수요일,서울특별시 강서구 방화동,,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),남,30세,상해없음,자전거,남,38세,경상,"[184094.80107235, 453969.47014405]",EPSG:5181
2021012900100077,2021년 1월 29일 08시,금요일,서울특별시 송파구 가락동,,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,31세,경상,승용,남,42세,상해없음,"[211079.92348803, 443872.99327353]",EPSG:5181
2021012900100116,2021년 1월 29일 09시,금요일,서울특별시 마포구 동교동,,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,-,맑음,교차로 - 교차로안,개인형이동수단(PM),여,29세,상해없음,보행자,여,27세,경상,"[193156.76708527, 451047.57015874]",EPSG:5181
2021012900100298,2021년 1월 29일 15시,금요일,서울특별시 마포구 합정동,,중상사고,0,1,1,0,차대사람 - 기타,안전운전불이행,-,맑음,교차로 - 교차로부근,개인형이동수단(PM),여,21세,상해없음,보행자,여,26세,경상,"[192662.24611444, 449793.46119684]",EPSG:5181
2021013000100405,2021년 1월 30일 19시,토요일,서울특별시 송파구 가락동,,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,31세,경상,기타불명,기타불명,미분류,기타불명,"[210980.23148626, 443807.4375859]",EPSG:5181
2021013100100256,2021년 1월 31일 18시,일요일,서울특별시 성동구 사근동,,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,23세,경상,승용,남,58세,상해없음,"[204034.84601629, 451263.50110506]",EPSG:5181
2021020100100284,2021년 2월 1일 17시,월요일,서울특별시 송파구 송파동,,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,20세,상해없음,보행자,여,58세,부상신고,"[209548.20665913, 445210.39584982]",EPSG:5181
2021020200100281,2021년 2월 2일 16시,화요일,서울특별시 마포구 서교동,,부상신고사고,0,0,0,1,차대사람 - 길가장자리구역통행중,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,31세,기타불명,보행자,여,18세,부상신고,"[193045.24896177, 450196.65161377]",EPSG:5181
2021020200100378,2021년 2월 2일 19시,화요일,서울특별시 강남구 역삼동,,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,27세,상해없음,이륜,남,28세,경상,"[203115.57331755, 445037.16264239]",EPSG:5181
2021020600100299,2021년 2월 6일 17시,토요일,서울특별시 서대문구 연희동,,부상신고사고,0,0,0,1,차대차 - 측면충돌,신호위반,-,흐림,교차로 - 교차로안,개인형이동수단(PM),남,32세,부상신고,승용,남,46세,상해없음,"[193518.38718914, 452837.17872426]",EPSG:5181
2021020600100383,2021년 2월 6일 19시,토요일,서울특별시 송파구 거여동,,경상사고,0,0,1,1,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,24세,부상신고,자전거,여,23세,경상,"[212472.73483989, 444202.52168025]",EPSG:5181
2021020700100003,2021년 2월 7일 00시,일요일,서울특별시 송파구 잠실동,,부상신고사고,0,0,0,1,차대차 - 측면충돌,직진우회전진행방해,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,23세,부상신고,승용,남,53세,상해없음,"[207524.47793743, 445383.71647876]",EPSG:5181
2021020700100303,2021년 2월 7일 19시,일요일,서울특별시 서초구 잠원동,,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),여,19세,경상,승용,여,46세,상해없음,"[201469.51643614, 446055.8192961]",EPSG:5181
2021020800100339,2021년 2월 8일 15시,월요일,서울특별시 구로구 온수동,,부상신고사고,0,0,0,1,차대차 - 측면충돌,기타,-,맑음,기타 - 기타,개인형이동수단(PM),여,51세,부상신고,승용,남,60세,상해없음,"[184545.07985415, 443412.92547105]",EPSG:5181
2021021300100241,2021년 2월 13일 18시,토요일,서울특별시 강남구 신사동,,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,19세,상해없음,보행자,여,24세,경상,"[202140.93867239, 446590.59585537]",EPSG:5181
2021021300100358,2021년 2월 13일 22시,토요일,서울특별시 광진구 군자동,,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,-,맑음,단일로 - 기타,개인형이동수단(PM),남,22세,상해없음,보행자,남,4세,경상,"[206162.98445696, 450267.42286408]",EPSG:5181
2021021400100048,2021년 2월 14일 11시,일요일,서울특별시 서초구 서초동,,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,27세,경상,승용,남,41세,상해없음,"[202745.15019596, 443394.54970507]",EPSG:5181
2021021500100163,2021년 2월 15일 13시,월요일,서울특별시 광진구 구의동,,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),남,49세,상해없음,보행자,여,36세,경상,"[207676.66412409, 448747.86517253]",EPSG:5181
2021021500100192,2021년 2월 15일 14시,월요일,서울특별시 송파구 석촌동,,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,44세,부상신고,화물,남,44세,상해없음,"[209282.44669191, 444956.88290764]",EPSG:5181
