"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"각종학교(중)","사립","7134155","선화예술중학교","Sunhwa Arts Middle School","서울특별시성동광진교육지원청","04991","서울특별시 광진구 천호대로 664","/ 선화예술중고등학교 (능동)","02-2204-1100","https://sunhwaarts.sen.ms.kr","02-453-4641","남여공학","","N","일반계","","전기","주간","19731201","19730705","B10","서울특별시교육청","서울특별시","","","","20220731"
"초등학교","공립","7134150","서울숭신초등학교","Seoul Soongshin Elementary School","서울특별시성동광진교육지원청","04702","서울특별시 성동구 마장로 161","(하왕십리동)","02-2252-5950","http://soongshin.sen.es.kr","02-2236-6134","남여공학","","N","일반계","","전기","주간","19590403","19590403","B10","서울특별시교육청","서울특별시","","","","20220731"
"중학교","공립","7134142","행당중학교","Haengdang Middle School","서울특별시성동광진교육지원청","04764","서울특별시 성동구 왕십리로 189","(행당동/행당중학교)","02-2292-2721","http://www.haengdang.ms.kr","02-2293-0473","남여공학","","N","일반계","","전기","주간","19680806","19681002","B10","서울특별시교육청","서울특별시","","","","20220731"
"중학교","사립","7134141","한양대학교사범대학부속중학교","Hanyang University Middle School","서울특별시성동광진교육지원청","04761","서울특별시 성동구 마조로 42","(사근동/한양사대부속중?고등학교)","02-2200-3700","http://hanyang-u.ms.kr","02-2298-3173","남여공학","","N","일반계","","전기","주간","19600118","19600118","B10","서울특별시교육청","서울특별시","","","","20220731"
"중학교","공립","7134140","자양중학교","Jayang Middle School","서울특별시성동광진교육지원청","05069","서울특별시 광진구 뚝섬로41길 33","(자양동/서울자양중학교)","02-446-0365","http://jayang.sen.ms.kr","02-458-7047","남여공학","","N","일반계","","전기","주간","19840301","19840301","B10","서울특별시교육청","서울특별시","","","","20220731"
"중학교","공립","7134139","용곡중학교","Yong-gok Middle School","서울특별시성동광진교육지원청","04940","서울특별시 광진구 용마산로22길 76","(중곡동/용곡중학교)","02-452-2622","http://yonggok.sen.ms.kr/index.do","02-458-8566","남여공학","","N","일반계","","전기","주간","19821209","19830504","B10","서울특별시교육청","서울특별시","","","","20220731"
"중학교","공립","7134138","옥정중학교","Ok-Jung Middle School","서울특별시성동광진교육지원청","04734","서울특별시 성동구 한림말길 11","/ 옥정중학교 (옥수동)","02-6021-2100","http://okjung.sen.ms.kr","02-2298-1303","남여공학","","N","일반계","","전기","주간","19840109","19840511","B10","서울특별시교육청","서울특별시","","","","20220731"
"중학교","공립","7134137","양진중학교","Yangjin Middle School","서울특별시성동광진교육지원청","04982","서울특별시 광진구 워커힐로 32","/ 양진중학교","02-2049-1200","http://www.yangjin.ms.kr","02-2049-1208/1220","남여공학","","N","해당없음","","전기","주간","20051229","20060514","B10","서울특별시교육청","서울특별시","","","","20220731"
"중학교","공립","7134136","신양중학교","Shinyang Middle School","서울특별시성동광진교육지원청","05087","서울특별시 광진구 자양강변길 73","/ 신양중학교 (자양동)","02-461-1070","http://shinyang.ms.kr","02-469-8386","남여공학","","N","일반계","","전기","주간","19840109","19840509","B10","서울특별시교육청","서울특별시","","","","20220731"
"중학교","공립","7134135","성원중학교","Sungwon Middle School","서울특별시성동광진교육지원청","04775","서울특별시 성동구 성덕정9가길 13","(성수동2가/ 성원중학교)","02-3408-2558","http://www.sungwon.ms.kr","02-463-0676","남여공학","","N","일반계","","전기","주간","19680806","19681002","B10","서울특별시교육청","서울특별시","","","","20220731"
